"id,""tema"",""subtema"",""texto_pregunta"",""opcion_a"",""opcion_b"",""opcion_c"",""opcion_d"",""opcion_e"",""alternativa_correcta"",""respuesta_correcta"",""tipo_origen"",""origen"",""imagen"",""notas""";;;;;
"67,""Espacio Geográfico"",""Hidrografía peruana"",""Río que pertenece a la hoya del Titicaca"",""Ucayali"",""Desagüadero"",""Urubamba"",""Marañón"",""Chancay"",""b"",""Desagüadero"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"68,""Espacio Geográfico"",""Mal de altura (soroche)"",""¿Cuál es la causa principal del mal del soroche en la región Puna?"",""La alta temperatura"",""La escasa presencia del agua"",""La escasa presencia del oxígeno"",""Se nota la presencia del viento"",""La falta de alimentos"",""c"",""La escasa presencia del oxígeno"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"69,""Psicología"",""Etapas del desarrollo cognitivo (Piaget)"",""Entre los siete y los doce años los niños y niñas se encuentran en la etapa ..."",""De las operaciones formales"",""Preoperacional"",""De las operaciones concretas"",""Sensorial – motora"",""Planteamiento de probabilidades"",""c"",""De las operaciones concretas"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"70,""Psicología"",""Procesos de memoria"",""Tengo la sensación de 'extrañeza' frente a una experiencia ya dada";" la siguiente expresión hace referencia al proceso denominado..."",""La fijación"",""El reconocimiento"",""La retención"",""Localización"",""La evocación"",""b"",""El reconocimiento"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;
"71,""Psicología"",""Procesos afectivos"",""¿Qué son los procesos afectivos?"",""Fenómenos relacionados con la cognición y el razonamiento"",""Cambios fisiológicos en respuestas al ejercicio físico"",""Procesos exclusivamente relacionados con la memoria"",""Actividades que implican únicamente la percepción sensorial"",""Experiencias internas de carácter emocional y sentimental"",""e"",""Experiencias internas de carácter emocional y sentimental"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"72,""Psicología"",""Funciones del cerebelo"",""¿Qué estructura interviene directamente en el mantenimiento de la postura y el equilibrio corporal?"",""El cerebro"",""La médula espinal"",""El bulto raquídeo"",""El hipotálamo"",""El cerebelo"",""e"",""El cerebelo"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"73,""Filosofía"",""Corrientes filosóficas: Materialismo"",""Indique a qué campo filosófico pertenece la teoría de Carlos Marx"",""Materialismo"",""Dogmatismo"",""Idealismo"",""Metafísico"",""Escepticismo"",""a"",""Materialismo"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"74,""Filosofía"",""Positivismo en el Perú"",""Max, en su clase de filosofía en el Perú, dijo: 'El positivismo peruano comienza en la Facultad de Medicina de la UNMSM y termina su vigencia cuando Deústua importa ______ de Europa'."",""La ciencia de Newton"",""El romanticismo"",""La filosofía empírica"",""La filosofía racionalista"",""El espiritualismo"",""e"",""El espiritualismo"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"75,""Economía"",""Demanda perfectamente inelástica"",""¿Qué es una demanda perfectamente inelástica?"",""Una demanda que responde mucho a cambios de precio"",""Una curva de demanda con pendiente positiva"",""Una demanda que no cambia ante variaciones de precio"",""Una demanda que varía proporcionalmente al precio"",""Una demanda que responde más al ingreso"",""c"",""Una demanda que no cambia ante variaciones de precio"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"76,""Economía"",""Aranceles en comercio internacional"",""Es el impuesto que se paga por los productos que ingresan al Perú para que puedan ser comercializados:"",""Precio de compra internacional"",""Tipo de cambio"",""Cotización del producto"",""Commodities"",""Arancel"",""e"",""Arancel"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"77,""Ciudadanía"",""Garantías constitucionales: Hábeas corpus"",""Hace una semana, la policía, sin contar con orden judicial, detuvo a César Zuñiga cuando este transitaba libremente por la calle cerca a su domicilio. César aún se encuentra en la comisaría y ante ello, su familia, para lograr su libertad, puede interponer:"",""Un hábeas data"",""Un hábeas corpus"",""Una acción popular"",""Una acción de amparo"",""Una acción de cumplimiento"",""b"",""Un hábeas corpus"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"78,""Ciudadanía"",""Estructura de la Constitución"",""Dentro de la estructura de la actual Constitución, el último título lleva como nombre:"",""De la persona y sociedad"",""De la estructura del Estado"",""De la reforma de la constitución"",""Del régimen económico"",""Del Estado y la Nación"",""c"",""De la reforma de la constitución"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"79,""Ciudadanía"",""Revocatoria de autoridades"",""La revocatoria de autoridades puede ser aplicada a:"",""Al presidente de la Nación"",""Jueces y fiscales"",""Ministros"",""Congresistas"",""Los alcaldes"",""e"",""Los alcaldes"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"80,""Ciudadanía"",""Diversidad étnica en el Perú"",""En nuestro país se ve una gran cantidad de grupos étnicos, cada uno de ellos presenta diferentes culturas y desarrollo, nuestro país trata de apoyarlos debido a que son parte de la nación peruana, ¿en qué región de nuestro país hay mayor predominación de estos grupos?"",""Amazonía"",""Andina"",""Costera"",""Andina y costera"",""Lima"",""a"",""Amazonía"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"81,""Razonamiento Verbal"",""Impacto del lenguaje audiovisual"",""TEXTO: 'El lenguaje audiovisual ha revolucionado la comunicación moderna, integrando elementos visuales y sonoros para transmitir mensajes complejos. Estudios de neurociencia muestran que el cerebro procesa imágenes 60,000 veces más rápido que texto, lo que explica la eficacia de plataformas como TikTok e Instagram. Sin embargo, expertos advierten sobre la superficialidad cognitiva cuando el consumo es excesivo, destacando la importancia de equilibrar estos medios con lectura profunda. La UNESCO recomienda integrar educación mediática en escuelas para desarrollar pensamiento crítico ante contenidos digitales.' PREGUNTA: ¿Cuál es la idea principal del texto?"",""Las redes sociales son perjudiciales para el aprendizaje"",""El lenguaje audiovisual tiene ventajas y riesgos que requieren educación mediática"",""El cerebro humano no está adaptado a los medios digitales"",""La UNESCO promueve eliminar las redes sociales en escuelas"",""Los mensajes audiovisuales son siempre superficiales"",""b"",""El lenguaje audiovisual tiene ventajas y riesgos que requieren educación mediática"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"82,""Razonamiento Verbal"",""Neurociencia y procesamiento visual"",""TEXTO: 'El lenguaje audiovisual ha revolucionado la comunicación moderna, integrando elementos visuales y sonoros para transmitir mensajes complejos. Estudios de neurociencia muestran que el cerebro procesa imágenes 60,000 veces más rápido que texto, lo que explica la eficacia de plataformas como TikTok e Instagram. Sin embargo, expertos advierten sobre la superficialidad cognitiva cuando el consumo es excesivo, destacando la importancia de equilibrar estos medios con lectura profunda. La UNESCO recomienda integrar educación mediática en escuelas para desarrollar pensamiento crítico ante contenidos digitales.' PREGUNTA: Según el texto, ¿qué dato neurocientífico soporta la eficacia del lenguaje audiovisual?"",""El 90% de la información transmitida al cerebro es visual"",""Las imágenes se procesan 60,000 veces más rápido que texto"",""Las redes sociales activan solo el hemisferio derecho"",""El cerebro prefiere texto sobre imágenes"",""Los sonidos se procesan más rápido que las imágenes"",""b"",""Las imágenes se procesan 60,000 veces más rápido que texto"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"83,""Razonamiento Verbal"",""Educación mediática"",""TEXTO: 'El lenguaje audiovisual ha revolucionado la comunicación moderna, integrando elementos visuales y sonoros para transmitir mensajes complejos. Estudios de neurociencia muestran que el cerebro procesa imágenes 60,000 veces más rápido que texto, lo que explica la eficacia de plataformas como TikTok e Instagram. Sin embargo, expertos advierten sobre la superficialidad cognitiva cuando el consumo es excesivo, destacando la importancia de equilibrar estos medios con lectura profunda. La UNESCO recomienda integrar educación mediática en escuelas para desarrollar pensamiento crítico ante contenidos digitales.' PREGUNTA: ¿Qué estrategia recomienda la UNESCO para mitigar los riesgos mencionados?"",""Prohibir el uso de redes sociales en menores de edad"",""Integrar educación mediática en escuelas"",""Limitar el tiempo de exposición a pantallas"",""Fomentar exclusivamente el uso de textos escritos"",""Desarrollar aplicaciones con contenido educativo únicamente"",""b"",""Integrar educación mediática en escuelas"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"84,""Razonamiento Verbal"",""Antonimia contextual"",""Elige el antónimo contextual de la palabra resaltada en la siguiente oración: Es una persona FOGUEADA en la técnica, pues la práctica diariamente."",""Novata"",""Experta"",""Desinteresada"",""Inexperta"",""Torpe"",""a"",""Novata"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"85,""Razonamiento Verbal"",""Analogías funcionales"",""ZAPATO es a PIE como..."",""Guante es a MANO"",""Sombrero es a CABEZA"",""Lentes es a OJOS"",""Reloj es a MUÑECA"",""Cinturón es a CINTURA"",""a"",""Guante es a MANO"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"86,""Razonamiento Verbal"",""Formación de superlativos irregulares"",""¿Qué alternativa continúa la siguiente serie? Bueno, fuerte, nuevo. ______ fortísimo, bonísimo."",""Durísimo"",""Nuevísimo"",""Fuertísimo"",""Novísimo"",""Riquísimo"",""d"",""Novísimo"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"87,""Lenguaje"",""Elementos del signo lingüístico (Saussure)"",""¿Cuál de estos elementos NO corresponde al signo lingüístico según Saussure?"",""Significante"",""Significado"",""Referente"",""Sema"",""Morfema"",""c"",""Referente"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"88,""Lenguaje"",""Funciones del lenguaje"",""Identifique la función del lenguaje predominante en: '¡Cierra la puerta ahora mismo!'"",""Referencial"",""Metalingüística"",""Fática"",""Conativa"",""Poética"",""d"",""Conativa"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"89,""Lenguaje"",""Sufijos nominales"",""El sufijo -ante en palabras como 'caminante' y 'cantante' indica que estos sustantivos derivan de:"",""Adjetivos"",""Adverbios"",""Verbos"",""Sustantivos"",""Pronombres"",""c"",""Verbos"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"90,""Lenguaje"",""Tilde diacrítica"",""¿Cuál de estas palabras lleva tilde diacrítica?"",""Solo"",""Aun"",""Este"",""Mas"",""El"",""d"",""Mas"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"91,""Lenguaje"",""Figuras retóricas: Personificación"",""La frase 'El viento susurraba secretos entre los árboles' utiliza principalmente una figura retórica de:"",""Hipérbole"",""Personificación"",""Metonimia"",""Sinécdoque"",""Anáfora"",""b"",""Personificación"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"92,""Lenguaje"",""Comunicación no verbal"",""En comunicación no verbal, el contacto visual prolongado suele interpretarse como:"",""Agresividad"",""Timidez"",""Seguridad o interés"",""Desinterés"",""Nerviosismo"",""c"",""Seguridad o interés"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"93,""Literatura"",""Movimientos literarios: Clasicismo"",""¿Qué movimiento literario se caracterizó por el culto a la belleza formal y la imitación de modelos clásicos?"",""Romanticismo"",""Realismo"",""Clasicismo"",""Vanguardismo"",""Naturalismo"",""c"",""Clasicismo"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"94,""Literatura"",""Los galinazos sin plumas"",""¿Cuál es el lema central de 'Los galinazos sin plumas' de Julio Ramón Ribeyro?"",""El abandono social"",""La lucha de clases"",""La corrupción política"",""La alienación urbana"",""La nostalgia provinciana"",""a"",""El abandono social"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"95,""Literatura"",""Modernismo en poesía peruana"",""¿Qué autor peruano representó el Modernismo en poesía?"",""César Vallejo"",""José María Arguedas"",""Manuel González Prada"",""José Santos Chocano"",""Abraham Valdelomar"",""d"",""José Santos Chocano"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"96,""Literatura"",""Figuras retóricas: Metáfora"",""¿Qué figura retórica predomina en 'Tus ojos son dos luceros'?"",""Hipérbole"",""Símil"",""Metáfora"",""Metonimia"",""Anáfora"",""c"",""Metáfora"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"97,""Literatura"",""Vanguardias literarias: Dadaísmo"",""¿Qué vanguardia literaria se caracterizó por la desestructuración del lenguaje?"",""Creacionismo"",""Ultraísmo"",""Surrealismo"",""Dadaísmo"",""Futurismo"",""d"",""Dadaísmo"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"98,""Literatura"",""Literatura de la Edad de Oro española"",""¿Qué obra pertenece a la Edad de Oro española?"",""El Lazarillo de Tormes"",""Cien años de soledad"",""La ciudad y los perros"",""Los ríos profundos"",""Un mundo para Julius"",""a"",""El Lazarillo de Tormes"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"99,""Biología"",""Organelas vegetales: Cloroplasto"",""¿Qué organela es exclusiva de células eucariotas vegetales?"",""Mitocondria"",""Cloroplasto"",""Ribosoma"",""Núcleo"",""Lisosoma"",""b"",""Cloroplasto"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"100,""Biología"",""Ciclo celular: Fase S"",""¿En qué fase del ciclo celular la célula duplica su ADN?"",""G1"",""S"",""G2"",""M"",""Citocinesis"",""b"",""S"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"101,""Biología"",""Leyes de Mendel"",""Según las leyes de Mendel, el cruce Aa x Aa producirá una proporción fenotípica de:"",""1:1"",""3:1"",""1:2:1"",""9:3:3:1"",""1:1:1:1"",""b"",""3:1"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"102,""Biología"",""Cadena trófica: Productores"",""En una cadena trófica, los productores son:"",""Herbívoros"",""Carnívoros"",""Descomponedores"",""Plantas"",""Omnívoros"",""d"",""Plantas"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"103,""Biología"",""Teoría de la selección natural"",""La teoría de la selección natural fue propuesta por:"",""Lamarck"",""Darwin"",""Mendel"",""Pasteur"",""Watson"",""b"",""Darwin"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"104,""Biología"",""Estructura celular en bacterias"",""¿Qué estructura celular contiene el material genético en bacterias?"",""Núcleo"",""Nucleoide"",""Plásmido"",""Vacuola"",""Retículo endoplasmático"",""b"",""Nucleoide"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"105,""Anatomía"",""Hormonas: Paratohormona"",""¿Qué hormona regula principalmente el metabolismo del calcio?"",""Insulina"",""Paratohormona"",""Adrenalina"",""Tiroxina"",""Progesterona"",""b"",""Paratohormona"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"106,""Anatomía"",""Diálisis y su aplicación"",""¿Qué es la diálisis y cuándo se utiliza?"",""Un método artificial para filtrar la sangre cuando los riñones fallan"",""Un procedimiento para eliminar el exceso de agua del cuerpo"",""Un tratamiento para infecciones urinarias"",""Una técnica para aumentar la producción de orina"",""Un examen para medir la función renal"",""a"",""Un método artificial para filtrar la sangre cuando los riñones fallan"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"107,""Anatomía"",""Hormonas en el parto"",""¿Qué hormona estimula las contracciones uterinas durante el parto?"",""Estrógeno"",""Progesterona"",""Oxitocina"",""Prolactina"",""LH"",""c"",""Oxitocina"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"108,""Anatomía"",""Composición del tejido óseo"",""El tejido óseo debe su rigidez principalmente a:"",""Colágeno"",""Fosfato de calcio"",""Osteocitos"",""Médula ósea"",""Vasos sanguíneos"",""b"",""Fosfato de calcio"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"109,""Anatomía"",""Funciones del cerebelo"",""¿Qué parte del encéfalo regula el equilibrio y coordinación motora?"",""Cerebelo"",""Tálamo"",""Hipotálamo"",""Bulbo raquídeo"",""Hipocampo"",""a"",""Cerebelo"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"110,""Anatomía"",""Tejido conectivo: Tendones"",""¿Qué tipo de tejido conectivo forma los tendones?"",""Tejido adiposo"",""Tejido cartilaginoso"",""Tejido óseo"",""Tejido elástico"",""Tejido denso regular"",""e"",""Tejido denso regular"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"111,""Historia del Perú"",""Reformas de Augusto B. Leguía"",""¿Qué presidente implementó la 'Patria Nueva' con reformas modernizadoras a inicios del siglo XX?"",""Augusto B. Leguía"",""Manuel Pardo"",""Ramón Castilla"",""Oscar R. Benavides"",""Manuel A. Odría"",""a"",""Augusto B. Leguía"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"112,""Historia del Perú"",""Batalla de Ayacucho"",""¿Qué batalla consolidó la independencia del Perú en 1824?"",""Ayacucho"",""Junín"",""Tarqui"",""Ingavi"",""Arica"",""a"",""Ayacucho"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"113,""Historia del Perú"",""Primer Militarismo en el Perú"",""Durante el Primer Militarismo (1827-1872), predominó:"",""Gobiernos civiles"",""Inestabilidad política con caudillos militares"",""Prosperidad económica"",""Centralismo absoluto"",""Influencia europea"",""b"",""Inestabilidad política con caudillos militares"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"114,""Historia del Perú"",""Causas de la Guerra con Chile"",""La Guerra con Chile (1879-1883) tuvo como causa principal:"",""Disputas limítrofes"",""Control del salitre"",""Diferencias ideológicas"",""Deudas económicas"",""Intervención extranjera"",""b"",""Control del salitre"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"115,""Historia del Perú"",""República Aristocrática"",""La República Aristocrática (1895-1919) se caracterizó por:"",""Gobiernos militares"",""Predominio de la oligarquía"",""Reformas socialistas"",""Influencia norteamericana"",""Expansión territorial"",""b"",""Predominio de la oligarquía"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"116,""Historia del Perú"",""Tercer Militarismo"",""El Tercer Militarismo (1968-1980) inició con el gobierno de:"",""Manuel Odría"",""Juan Velasco Alvarado"",""Fernando Belaunde"",""Francisco Morales Bermúdez"",""Alan García"",""b"",""Juan Velasco Alvarado"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"117,""Historia universal"",""Primera Guerra Mundial"",""¿Qué evento inició formalmente la Primera Guerra Mundial en 1914?"",""Invasión de Polonia"",""Asesinato del archiduque Francisco Fernando"",""Bombardeo de Pearl Harbor"",""Revolución Rusa"",""Tratado de Versalles"",""b"",""Asesinato del archiduque Francisco Fernando"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"118,""Historia universal"",""Revolución Francesa"",""La Revolución Francesa (1789) proclamó los principios de:"",""Libertad, igualdad, fraternidad"",""Orden y progreso"",""Dios, patria y rey"",""Socialismo científico"",""Paz y amor"",""a"",""Libertad, igualdad, fraternidad"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"119,""Historia universal"",""Paz Armada"",""La Paz Armada (1871-1914) se caracterizó por:"",""Desarme generalizado"",""Carrera armamentista y alianzas"",""Paz mundial duradera"",""Expansión del comunismo"",""Aislamiento de potencias"",""b"",""Carrera armamentista y alianzas"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"120,""Historia universal"",""Revolución Rusa"",""La Revolución Rusa de 1917 estableció:"",""Un régimen zarista"",""Un gobierno socialista"",""Una democracia liberal"",""Una monarquía constitucional"",""Un sistema fascista"",""b"",""Un gobierno socialista"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"121,""Historia universal"",""Fin de la Segunda Guerra Mundial"",""La Segunda Guerra Mundial (1939-1945) terminó con:"",""La caída de Berlín"",""La bomba atómica en Hiroshima"",""El tratado de Versalles"",""La conferencia de Yalta"",""La creación de la ONU"",""b"",""La bomba atómica en Hiroshima"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"122,""Historia universal"",""Ilustración"",""La Ilustración promovió principalmente:"",""El absolutismo"",""La razón y el empirismo"",""El feudalismo"",""El misticismo religioso"",""El oscurantismo"",""b"",""La razón y el empirismo"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"123,""Geografía"",""Corrientes oceánicas: Humboldt"",""¿Qué corriente oceánica influye en el clima árido de la costa peruana?"",""Corriente del Niño"",""Corriente de Humboldt"",""Corriente de Benguela"",""Corriente de Kuroshio"",""Corriente Circumpolar"",""b"",""Corriente de Humboldt"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"124,""Geografía"",""Límites geográficos del Perú"",""¿Qué departamento peruano limita con Ecuador?"",""Tumbes"",""Loreto"",""Madre de Dios"",""Cajamarca"",""Piura"",""a"",""Tumbes"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"125,""Geografía"",""Erosión eólica"",""La erosión eólica es causada por:"",""Agua"",""Viento"",""Hielo"",""Gravedad"",""Actividad humana"",""b"",""Viento"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"126,""Geografía"",""Hidrografía: Vertiente del Titicaca"",""¿Qué río pertenece a la vertiente del Titicaca?"",""Marañón"",""Ucayali"",""Desaguadero"",""Santa"",""Chira"",""c"",""Desaguadero"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"127,""Geografía"",""Biodiversidad amazónica"",""La biodiversidad amazónica se debe principalmente a:"",""Altitud"",""Clima tropical húmedo"",""Suelos volcánicos"",""Influencia oceánica"",""Corrientes frías"",""b"",""Clima tropical húmedo"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"128,""Geografía"",""Actividad económica andina"",""La principal actividad económica de la región andina es:"",""Pesca"",""Minería"",""Turismo"",""Agricultura"",""Manufactura"",""d"",""Agricultura"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"129,""Ciudadanía"",""Garantías constitucionales: Hábeas corpus"",""¿Qué garantía constitucional protege contra detenciones arbitrarias?"",""Hábeas corpus"",""Hábeas data"",""Acción popular"",""Amparo"",""Inconstitucionalidad"",""a"",""Hábeas corpus"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"130,""Ciudadanía"",""Poder Legislativo en el Perú"",""El Poder Legislativo en el Perú está representado por:"",""El Presidente"",""El Congreso"",""El Poder Judicial"",""Los gobiernos regionales"",""Los ministerios"",""b"",""El Congreso"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"131,""Ciudadanía"",""Organismos electorales"",""¿Qué organismo supervisa las elecciones en el Perú?"",""Ministerio Público"",""Jurado Nacional de Elecciones"",""Defensoría del Pueblo"",""Contraloría"",""Banco Central"",""b"",""Jurado Nacional de Elecciones"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"132,""Ciudadanía"",""Declaración Universal de DDHH"",""La Declaración Universal de Derechos Humanos fue adoptada en:"",""1919"",""1945"",""1948"",""1975"",""1989"",""c"",""1948"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"133,""Ciudadanía"",""Derechos de primera generación"",""¿Qué derecho es considerado de primera generación?"",""Derecho a la educación"",""Derecho a la salud"",""Libertad de expresión"",""Derecho al trabajo"",""Derecho a un ambiente sano"",""c"",""Libertad de expresión"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"134,""Ciudadanía"",""Objetivos de la ONU"",""La ONU fue creada para:"",""Promover el comercio"",""Mantener la paz internacional"",""Regular las migraciones"",""Controlar armamentos"",""Unificar monedas"",""b"",""Mantener la paz internacional"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"135,""Economía"",""Demanda perfectamente inelástica"",""¿Qué indica una curva de demanda perfectamente inelástica?"",""El precio no afecta la cantidad demandada"",""La demanda varía inversamente con el ingreso"",""Los consumidores son extremadamente sensibles al precio"",""Refleja bienes de lujo"",""Muestra sustituibilidad perfecta"",""a"",""El precio no afecta la cantidad demandada"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"136,""Economía"",""Inflación"",""La inflación es el aumento generalizado de:"",""La producción"",""Los salarios"",""Los precios"",""Las exportaciones"",""La población"",""c"",""Los precios"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"137,""Economía"",""Regulación del sistema financiero"",""¿Qué institución regula el sistema financiero en el Perú?"",""SBS"",""BCRP"",""MEF"",""Sunat"",""CMF"",""a"",""SBS"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"138,""Economía"",""Aranceles"",""Un arancel es un impuesto a:"",""La renta"",""Las ventas"",""Las importaciones"",""Las propiedades"",""Los servicios"",""c"",""Las importaciones"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"139,""Economía"",""Producto Bruto Interno (PBI)"",""El PBI mide:"",""La riqueza total de un país"",""El valor de todos los bienes finales producidos"",""Las reservas internacionales"",""La deuda externa"",""El consumo familiar"",""b"",""El valor de todos los bienes finales producidos"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"140,""Economía"",""Ley de oferta"",""En microeconomía, la ley de oferta establece que:"",""A mayor precio, menor cantidad ofrecida"",""Oferta y demanda son independientes"",""A mayor precio, mayor cantidad ofrecida"",""La oferta no depende del precio"",""El equilibrio siempre se mantiene"",""c"",""A mayor precio, mayor cantidad ofrecida"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"141,""Psicología"",""Etapas de Piaget: Operaciones concretas"",""¿En qué etapa piagetiana los niños desarrollan la conservación de materia?"",""Sensoriomotora"",""Preoperacional"",""Operaciones concretas"",""Operaciones formales"",""Postformal"",""c"",""Operaciones concretas"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"142,""Psicología"",""Memoria a corto plazo"",""La memoria a corto plazo tiene una capacidad de aproximadamente:"",""3-4 ítems"",""5-9 ítems"",""10-12 ítems"",""15-20 ítems"",""Ilimitada"",""b"",""5-9 ítems"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"143,""Psicología"",""Condicionamiento clásico"",""El condicionamiento clásico fue estudiado por:"",""Skinner"",""Pavlov"",""Bandura"",""Freud"",""Maslow"",""b"",""Pavlov"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"144,""Psicología"",""Pruebas de inteligencia fluida"",""¿Qué prueba mide inteligencia fluida?"",""Test de Rorschach"",""WAIS"",""Test de Stanford-Binet"",""Raven"",""MMPI"",""d"",""Raven"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"145,""Psicología"",""Modelo de los cinco grandes de personalidad"",""El modelo de los cinco grandes factores de personalidad incluye:"",""Neuroticismo"",""Inconsciencia"",""Egocentrismo"",""Agresividad"",""Dependencia"",""a"",""Neuroticismo"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
"146,""Psicología"",""Zona de desarrollo próximo (Vygotsky)"",""La zona de desarrollo próximo es un concepto de:"",""Freud"",""Piaget"",""Vygotsky"",""Erikson"",""Bandura"",""c"",""Vygotsky"",""GENERADO"",""SIMULACRO-23-04-2025-I"","""",""""";;;;;
